id,name,hind_name,wikipedia_links
326,Vermicelli ,Sevaiyan,https://en.wikipedia.org/wiki/Vermicelli 
327,Millet ,Bajra Flour,https://en.wikipedia.org/wiki/Millet 
328,Corriander ,Dhania, 
329,Ragi Flour ,Nachni,https://en.wikipedia.org/wiki/Ragi flour 
330,Vanilla Ice Cream ,,https://en.wikipedia.org/wiki/Vanilla ice cream 
331,Dog Rolls ,, 
332,Boondi ,,https://en.wikipedia.org/wiki/Boondi 
333,Rabdi ,,https://en.wikipedia.org/wiki/Rabdi 
334,Gulab Jamun ,,https://en.wikipedia.org/wiki/Gulab jamun 
335,Brioche ,,https://en.wikipedia.org/wiki/Brioche 
336,Corn Flour ,,https://en.wikipedia.org/wiki/Corn flour 
337,Kalakand ,,https://en.wikipedia.org/wiki/Kalakand 
338,Butterscotch ,,https://en.wikipedia.org/wiki/Butterscotch 
339,Cannelloni ,,https://en.wikipedia.org/wiki/Cannelloni 
340,Pomodoro Sauce ,, 
341,Marie Biscuit ,,https://en.wikipedia.org/wiki/Marie biscuit 
342,Egg ,,https://en.wikipedia.org/wiki/Egg 
343,Parmesan Cheese ,,https://en.wikipedia.org/wiki/Parmesan cheese 
344,Zucchini ,,https://en.wikipedia.org/wiki/Zucchini 
345,Chole Masala ,,https://en.wikipedia.org/wiki/Chole masala 
346,Garlic Bread ,,https://en.wikipedia.org/wiki/Garlic bread 
347,Brown Bread ,,https://en.wikipedia.org/wiki/Brown bread 
348,Tabasco Sauce ,,https://en.wikipedia.org/wiki/Tabasco sauce 
349,Samosa Patties ,, 
350,Fettuccine ,,https://en.wikipedia.org/wiki/Fettuccine 
351,Chives ,,https://en.wikipedia.org/wiki/Chives 
352,Rosemary ,,https://en.wikipedia.org/wiki/Rosemary 
353,Balsamic Vinegar ,,https://en.wikipedia.org/wiki/Balsamic vinegar 
354,Tortillas ,,https://en.wikipedia.org/wiki/Tortillas 
355,Kidney Beans ,Rajma,https://en.wikipedia.org/wiki/Kidney beans 
356,Panchmel Dal ,, 
357,Churma ,,https://en.wikipedia.org/wiki/Churma 
358,Muesli ,,https://en.wikipedia.org/wiki/Muesli 
359,Macaroni ,,https://en.wikipedia.org/wiki/Macaroni 
360,Mushroom Soup ,,https://en.wikipedia.org/wiki/Mushroom soup 
361,Wheat Rotis ,, 
362,Spaghetti ,,https://en.wikipedia.org/wiki/Spaghetti 
363,Oats Flour ,, 
364,Surti Papdi ,Fresh Vaal, 
365,Ginger Chilli ,, 
366,Tomato Sauce ,,https://en.wikipedia.org/wiki/Tomato sauce 
367,Fusilli ,,https://en.wikipedia.org/wiki/Fusilli 
368,Fusilli Pasta ,, 
369,Pinenuts ,Chilgoza,https://en.wikipedia.org/wiki/Pinenuts 
370,Basmati Rice ,Chawal,https://en.wikipedia.org/wiki/Basmati rice 
371,Cloves Garlic ,Lehsun, 
372,Potato Salli ,, 
373,Oats ,,https://en.wikipedia.org/wiki/Oats 
374,Brown Rice ,,https://en.wikipedia.org/wiki/Brown rice 
375,Maize Flour ,Makai Ka Atta, 
376,Lime ,Mosambi,https://en.wikipedia.org/wiki/Lime 
377,Chapatis ,,https://en.wikipedia.org/wiki/Chapatis 
378,Cheese Sauce ,,https://en.wikipedia.org/wiki/Cheese sauce 
379,Puffed Wheat ,,https://en.wikipedia.org/wiki/Puffed wheat 
380,Strawberry Ice-Cream ,, 
381,Nut Chikki ,, 
382,Butterscotch Sauce ,, 
383,Rice Wrappers ,, 
384,Salad Cream ,,https://en.wikipedia.org/wiki/Salad cream 
385,Worcesterchire Sauce ,,https://en.wikipedia.org/wiki/Worcesterchire sauce 
386,Worcestershire Sauce ,,https://en.wikipedia.org/wiki/Worcestershire sauce 
387,Barley ,Jau,https://en.wikipedia.org/wiki/Barley 
388,Malvani Masala ,, 
389,Ponkh ,, 
390,Mimosa Sugar ,, 
391,Rotla ,,https://en.wikipedia.org/wiki/Rotla 
392,Farfalle ,,https://en.wikipedia.org/wiki/Farfalle 
393,Sour Cream ,,https://en.wikipedia.org/wiki/Sour cream 
394,Goda Masala ,, 
395,Lemon Wedge ,, 
396,Meetha Chutney ,, 
397,Teekha Chutney ,, 
398,Gujarati Dal ,, 
399,Jalapenos ,,https://en.wikipedia.org/wiki/Jalapenos 
400,Bread Buns ,, 
401,Pasta ,,https://en.wikipedia.org/wiki/Pasta 
402,Kideny Beans ,Kashmiri Rajma, 
403,Capscium ,, 
404,Dill ,Shepu/Suva Bhaji,https://en.wikipedia.org/wiki/Dill 
405,Clove Garlic ,Lehsun, 
406,Wheat Chapatis ,Gehun, 
407,Ginger- Garlic ,Lehsun, 
408,Chickpeas ,Kabuli Chana,https://en.wikipedia.org/wiki/Chickpeas 
409,Beetroots ,,https://en.wikipedia.org/wiki/Beetroots 
410,Ladi Pav ,, 
411,Rocket ,Arugula,https://en.wikipedia.org/wiki/Rocket 
412,Jackfruit ,,https://en.wikipedia.org/wiki/Jackfruit 
413,Puffed Rice ,Kurmura,https://en.wikipedia.org/wiki/Puffed rice 
414,Mulberry ,,https://en.wikipedia.org/wiki/Mulberry 
415,Bhaji ,,https://en.wikipedia.org/wiki/Bhaji 
416,Laddi Pavs ,, 
417,Trevti Dal ,, 
418,Sour Dip ,, 
419,Gourd ,Tinda,https://en.wikipedia.org/wiki/Gourd 
420,Kokum ,,https://en.wikipedia.org/wiki/Kokum 
421,Chole ,,https://en.wikipedia.org/wiki/Chole 
422,Water Chestnut Flour ,Shingoda, 
423,Papdis ,, 
424,Masala Dal ,, 
425,Kadhi ,,https://en.wikipedia.org/wiki/Kadhi 
426,Mag Dal Khichdi ,, 
427,Panch Phoran ,,https://en.wikipedia.org/wiki/Panch phoran 
428,CorianderCumin ,, 
429,Marinade ,,https://en.wikipedia.org/wiki/Marinade 
430,Aloo Bhujiya ,, 
431,Baby Potato ,, 
432,Pipe Fryums ,, 
